"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1",0,"'57 Chevy with a White License Plate",2016-07-18 22:49:04,14029,"alcoholic","cocktail","highball glass",1,"creme de cacao","1 oz white","1",NA,NA,"oz white",1,28,-0.0731584639822161,"uncommon ingredient","creme de cacao"
"2",0,"'57 Chevy with a White License Plate",2016-07-18 22:49:04,14029,"alcoholic","cocktail","highball glass",2,"vodka","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"vodka","vodka"
"3",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",1,"absolut kurant","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","absolut kurant"
"4",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",2,"grand marnier","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","grand marnier"
"5",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",3,"chambord raspberry liqueur","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","chambord raspberry liqueur"
"6",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",4,"midori melon liqueur","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","midori melon liqueur"
"7",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",5,"malibu rum","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","malibu rum"
"8",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",6,"amaretto","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"amaretto","amaretto"
"9",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",7,"cranberry juice","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"cranberry juice","cranberry juice"
"10",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",8,"pineapple juice","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"pineapple juice","pineapple juice"
"11",2,"110 in the shade",2016-02-03 14:51:57,15423,"alcoholic","beer","beer glass",1,"lager","16 oz","16",NA,NA,"oz",16,448,0.14582500856957,"uncommon ingredient","lager"
"12",2,"110 in the shade",2016-02-03 14:51:57,15423,"alcoholic","beer","beer glass",2,"tequila","1.5 oz","1",1.5,NA,"oz",1.5,42,-0.0658590148971566,"tequila","tequila"
"13",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",1,"malibu rum","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","malibu rum"
"14",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",2,"light rum","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"light rum","light rum"
"15",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",3,"151 proof rum","1/2 oz bacardi","1/2",NA,NA,"oz bacardi",0.5,14,-0.0804579130672757,"151 proof rum","151 proof rum"
