"row_id","Creme.de.Cacao","Vodka","Absolut.Kurant","Amaretto","Chambord.raspberry.liqueur","Cranberry.juice","Grand.Marnier","Malibu.rum","Midori.melon.liqueur","Pineapple.juice","Lager","Tequila","X151.proof.rum","Coconut.liqueur","Cointreau","Dark.Creme.de.Cacao","Light.rum","Milk","Vanilla.ice.cream","Dark.rum","Orange.juice","Goldschlager","Jägermeister","Rumple.Minze","Wild.Turkey","Jack.Daniels","Jim.Beam","Johnnie.Walker","Bitters","Coca.Cola","Gin","Sweet.and.sour","Triple.sec","Peach.Vodka","Vanilla.vodka","X7.Up","Blue.Curacao","Sour.mix","Lemon.juice","Bailey.s.irish.cream","Frangelico","Kahlua","Absolut.Citron","Orange.Curacao","Strawberry.liqueur","Coconut.rum","Grenadine","Ginger.beer","Lemon.peel","Peach.schnapps","Añejo.rum","Ginger.ale","Ice","Southern.Comfort","Creme.de.Banane","Soda.water","Lemon","Kirschwasser","Schweppes.Russchian","Strawberries","Applejack","Grapefruit.juice","White.Creme.de.Menthe","Lemon.Juice","Cognac","Absolut.Vodka","Tonic.water","Cherry","Orange","Orange.bitters","Angostura.Bitters","Orange.Juice","Sweet.Vermouth","Peach.nectar","Anise","Licorice.root","Sugar","Wormwood","Bitter.lemon","Pisang.Ambon","Sprite","Lime.juice","Champagne","Cranberry.Juice","Egg.white","Mint","Egg.White","Heavy.cream","Creme.de.Cassis","Fresh.Lemon.Juice","Fruit","Rum","Salt","Lemonade","Water","Dry.Vermouth","Vermouth","Fresh.Lime.Juice","Sugar.Syrup","Sherry","Club.soda","Strawberry.schnapps","Scotch","Apricot.brandy","Lime","Coffee","Cream","Sloe.gin","Yellow.Chartreuse","Light.cream","Lemon.vodka","Blended.whiskey","Blackberry.brandy","Bourbon","Kummel","Ginger","Guava.juice","Pineapple","Almond.flavoring","Apricot","Brandy","Food.coloring","Glycerine","Grain.alcohol","Chocolate.ice.cream","Cider","Tea","Whipped.cream","Campari","Orange.peel","Apple.brandy","Allspice","Almond","Angelica.root","Cinnamon","Coriander","Marjoram.leaves","Apple.juice","Maraschino.cherry","Apple","Berries","Apple.cider","Brown.sugar","Cloves","Nutmeg","Carrot","Apple.schnapps","Benedictine","Wine","Candy","Grape.soda","Maui","Mountain.Dew","Green.Creme.de.Menthe","Iced.tea","Cream.of.coconut","Gold.tequila","Lime.juice.cordial","Red.wine","Rye.whiskey","Passion.fruit.syrup","Crown.Royal","lemon.juice","maraschino.liqueur","Sambuca","Sugar.syrup","Banana","Honey","Yoghurt","Galliano","Lime.Juice","Pineapple.Juice","Prosecco","Carbonated.water","Everclear","Kool.Aid","Irish.cream","Ale","Guinness.stout","Cherry.brandy","Chocolate.syrup","Coffee.liqueur","Root.beer","Surge","Butterscotch.schnapps","Godiva.liqueur","Celery.salt","Tabasco.sauce","Tomato.juice","Worcestershire.sauce","Tia.maria","Maraschino.liqueur","caramel.sauce","chocolate.sauce","Mini.snickers.bars","Vanilla.Ice.Cream","Passion.fruit.juice","Powdered.sugar","Advocaat","Erin.Cream","Creme.de.Mure","Egg","Peachtree.schnapps","Banana.liqueur","Bacardi.Limon","Corona","Cachaca","White.rum","Egg.yolk","Cocoa.powder","Cornstarch","Cherry.Grenadine","Triple.Sec","Port","Chocolate","Chocolate.liqueur","Chocolate.milk","Vanilla.extract","Vanilla","Cranberries","Spiced.rum","Peppermint.extract","Hot.Damn","Whiskey","demerara.Sugar","Dark.Rum","Ginger.Beer","Cherry.Heering","gin","Peach.Bitters","Blackcurrant.cordial","Olive","Olive.Brine","Fruit.punch","Dubonnet.Rouge","Lavender","Pineapple.Syrup","Pisco","St..Germain","Whipping.cream","Condensed.milk","Absolut.Peppar","Firewater","Beer","Dr..Pepper","Sarsaparilla","pineapple.juice","Raspberry.Liqueur","Fruit.juice","Sirup.of.roses","Melon.liqueur","Agave.Syrup","orange.juice","Grapes","Whisky","Grapefruit.Juice","Maraschino.Liqueur","Grape.juice","Corn.syrup","Butter","Half.and.half","Irish.whiskey","Aperol","Coconut.syrup","Peach.brandy","Tennessee.whiskey","Baileys.irish.cream","Jello","Anis","Green.Chartreuse","Apfelkorn","Cranberry.vodka","Kiwi.liqueur","Kiwi","Papaya","Cumin.seed","Mango","Asafoetida","Drambuie","Angostura.bitters","Orgeat.syrup","Tropicana","Black.pepper","Cardamom","Espresso","Absinthe","Pepsi.Cola","Lemon.lime.soda","Oreo.cookie","Apricot.Brandy","Coconut.milk","Pink.lemonade","Cherry.liqueur","Egg.Yolk","Raspberry.syrup","Coffee.brandy","Lime.vodka","Black.Sambuca","Raspberry.vodka","Peychaud.bitters","Ricard","Curacao","Fennel.seeds","Anisette","Ouzo","Aquavit","Yukon.Jack","Agave.syrup","Tomato.Juice","Maple.syrup","Lillet.Blanc","Limeade","White.Rum","Zima"
0,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
1,"0","0","0.5","0.25","0.25","0.5","0.25","0.25","0.25","0.25","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
2,"0","0","0","0","0","0","0","0","0","0","16","1.5","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
3,"0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","1","1","1","0.5","3",1,"0","0","0","0","0","0","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
4,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0",0,"1","1","0","0","0","0","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
5,"0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0",0,"0","0","0.5","0.5","0.5","0","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
6,"0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0",0,"0","0","0","0","0","0.5","0","0","0",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0.333333333333333","0.333333333333333","0.333333333333333",0,0,"0","0","0",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
8,"0","0.5","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0",0,"0","0","0","0","0","0","0","0","0",1,0,"0.5","1","0.5",0,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","0","0","0","0",0,0,"0","0","0",2,"0",0,"0",0,"0","0","0","0","0","0",0,0,"0",0,0,"0","0",0,"0","0","0",0,"0",0,0,"0","0",0,"0","0","0","0",0,0,0,0,0,0,"0","0",0,0,"0",0,0,"0","0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0",0,0,"0",0,"0","0",0,"0","0",0,"0",0,"0",0,0,0,"0","0",0,0,0,0,0,0,"0","0","0",0,0,"0","0",0,"0",0,0,"0",0,"0",0,0,"0",0,0,"0","0","0","0","0","0","0","0","0","0",0,0,0,0,"0","0",0,"0","0",0,"0","0","0","0","0",0,"0",0,"0","0","0",0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,0,"0","0",0,"0",0,"0","0","0","0",0,"0","0",0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,0,"0","0","0",0,"0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,"0","0",0,0,"0",0,"0",0,"0","0",0,0,0,0,"0","0",0,0,"0",0,"0",0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0","0","0",0,0,0,0,0,"0",0,0,0
